GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
51107605,10,Sugarland South Voting District,Loudoun,5086,2454,378,1637,463,11,143,1974,1142,800
51107408,10,Evergreen Voting District,Loudoun,6818,4694,519,676,684,14,231,2721,1348,1359
51107608,10,Mirror Ridge Voting District,Loudoun,5028,1962,464,1402,1001,6,193,1859,1164,681
51107811,10,Dominion Voting District,Loudoun,4997,3150,401,590,658,6,192,2416,1419,976
51107606,10,Seneca Voting District,Loudoun,3676,2403,202,309,638,10,114,1778,965,800
51107403,10,Lucketts Voting District,Loudoun,3439,2664,168,359,150,7,91,1529,719,801
51107302,10,Round Hill Voting District,Loudoun,2952,2609,62,137,73,8,63,1621,733,876
51107309,10,Aldie Voting District,Loudoun,1232,1009,138,54,19,0,12,776,397,373
51107503,10,Dry Mill Voting District,Loudoun,1949,1609,88,159,44,3,46,1090,570,512
51107505,10,Cool Spring Voting District,Loudoun,4251,3266,270,284,274,9,148,2165,1074,1071
51107308,10,St. Louis Voting District,Loudoun,1863,1450,221,161,8,4,19,1055,617,435
51107116,10,Legacy Voting District,Loudoun,4312,2191,168,209,1540,6,198,1392,832,551
51107110,10,Oak Grove Voting District,Loudoun,1784,391,218,270,818,10,77,658,497,153
51107812,10,Farmwell Station Voting District,Loudoun,5376,3166,484,644,905,4,173,2195,1268,915
51109201,7,Louisa #1 Voting District,Louisa,2507,1759,544,124,24,1,55,1050,445,592
51109602,7,Locust Creek Voting District,Louisa,2548,2103,331,40,3,21,50,1161,441,707
51109402,7,Yanceyville Voting District,Louisa,1135,832,259,14,4,8,18,561,326,221
51109301,7,Patrick Henry #1 Voting District,Louisa,4514,2800,1498,82,28,12,94,2196,1292,884
51109102,7,Mechanicsville Voting District,Louisa,2846,2236,451,61,14,3,81,1157,566,580
51109401,7,Mineral Voting District,Louisa,3461,2828,442,87,10,16,78,1471,546,905
51109601,7,Bumpass Voting District,Louisa,2324,2099,136,40,17,5,27,1140,356,777
51109202,7,Louisa #2 Voting District,Louisa,2050,1612,318,47,13,2,58,938,480,444
51109701,7,Sheltons Mill Voting District,Louisa,2616,2172,352,36,6,12,38,1300,519,766
51109502,7,Cuckoo Voting District,Louisa,2590,1951,498,49,3,13,76,1095,501,580
51109702,7,South Anna Voting District,Louisa,1678,1381,218,32,8,8,31,840,338,498
51109101,7,Zion Voting District,Louisa,2788,2206,379,117,27,0,59,1393,648,737
51109501,7,Fredericks Hall Voting District,Louisa,2096,1583,406,33,16,5,53,1019,520,491
51111201,5,Brown's Store Voting District,Lunenburg,1305,911,314,52,5,6,17,664,261,399
51111101,5,Plymouth Voting District,Lunenburg,1151,886,227,2,2,1,33,616,210,397
51111702,5,Victoria Public Library Voting District,Lunenburg,2422,1260,1041,81,2,5,33,493,185,305
